IP地址,端口,TLS,数据中心,地区,城市,网络延迟,下载速度
8.219.77.222,2096,true,SIN,Asia Pacific,Singapore,236 ms,1972 kB/s
8.218.122.55,2083,true,HKG,Asia Pacific,Hong Kong,62 ms,1964 kB/s
8.210.192.93,8443,true,HKG,Asia Pacific,Hong Kong,69 ms,1948 kB/s
8.219.77.222,8443,true,SIN,Asia Pacific,Singapore,256 ms,1916 kB/s
8.219.201.245,2087,true,SIN,Asia Pacific,Singapore,248 ms,1905 kB/s
47.242.157.96,8443,true,HKG,Asia Pacific,Hong Kong,67 ms,1892 kB/s
47.236.9.152,2096,true,SIN,Asia Pacific,Singapore,236 ms,1873 kB/s
8.219.4.122,2053,true,SIN,Asia Pacific,Singapore,249 ms,1730 kB/s
8.219.51.211,8443,true,SIN,Asia Pacific,Singapore,218 ms,1699 kB/s
8.219.66.156,2083,true,NRT,Asia Pacific,Tokyo,316 ms,1693 kB/s
47.237.92.26,2087,true,SIN,Asia Pacific,Singapore,262 ms,1660 kB/s
8.218.204.128,2087,true,HKG,Asia Pacific,Hong Kong,62 ms,1654 kB/s
47.243.27.217,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,1638 kB/s
8.217.164.10,2087,true,HKG,Asia Pacific,Hong Kong,68 ms,1627 kB/s
8.219.177.205,8443,true,SIN,Asia Pacific,Singapore,237 ms,1622 kB/s
47.237.11.182,2096,true,SIN,Asia Pacific,Singapore,241 ms,1564 kB/s
47.242.252.237,2096,true,HKG,Asia Pacific,Hong Kong,64 ms,1520 kB/s
8.210.48.107,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,1507 kB/s
47.245.86.230,2083,true,SIN,Asia Pacific,Singapore,267 ms,1462 kB/s
8.219.229.190,2083,true,SIN,Asia Pacific,Singapore,249 ms,1432 kB/s
8.210.245.224,2087,true,HKG,Asia Pacific,Hong Kong,61 ms,1378 kB/s
8.210.21.65,2096,true,HKG,Asia Pacific,Hong Kong,61 ms,1376 kB/s
47.236.170.225,2096,true,SIN,Asia Pacific,Singapore,234 ms,1369 kB/s
8.210.21.65,8443,true,HKG,Asia Pacific,Hong Kong,64 ms,1356 kB/s
47.243.173.187,2087,true,HKG,Asia Pacific,Hong Kong,53 ms,1286 kB/s
47.236.118.216,2087,true,SIN,Asia Pacific,Singapore,257 ms,1273 kB/s
47.236.93.176,8443,true,SIN,Asia Pacific,Singapore,239 ms,1255 kB/s
8.210.100.23,8443,true,HKG,Asia Pacific,Hong Kong,61 ms,1234 kB/s
8.210.9.129,443,true,HKG,Asia Pacific,Hong Kong,55 ms,1036 kB/s
47.245.105.224,2083,true,SIN,Asia Pacific,Singapore,309 ms,956 kB/s
8.219.153.237,2083,true,NRT,Asia Pacific,Tokyo,293 ms,956 kB/s
8.210.175.109,2083,true,HKG,Asia Pacific,Hong Kong,66 ms,896 kB/s
8.219.240.160,2083,true,SIN,Asia Pacific,Singapore,221 ms,889 kB/s
47.243.173.187,2083,true,HKG,Asia Pacific,Hong Kong,61 ms,875 kB/s
47.243.173.187,2096,true,HKG,Asia Pacific,Hong Kong,56 ms,726 kB/s
47.242.176.237,8443,true,HKG,Asia Pacific,Hong Kong,71 ms,726 kB/s
47.242.17.250,2087,true,HKG,Asia Pacific,Hong Kong,64 ms,579 kB/s
47.237.0.31,2087,true,SIN,Asia Pacific,Singapore,250 ms,495 kB/s
47.243.27.217,2087,true,HKG,Asia Pacific,Hong Kong,63 ms,460 kB/s
8.222.191.138,2087,true,SIN,Asia Pacific,Singapore,236 ms,403 kB/s
47.243.90.180,2096,true,HKG,Asia Pacific,Hong Kong,69 ms,278 kB/s
47.236.125.62,2087,true,NRT,Asia Pacific,Tokyo,313 ms,227 kB/s
8.222.183.242,2087,true,SIN,Asia Pacific,Singapore,240 ms,227 kB/s
47.242.174.27,2053,true,HKG,Asia Pacific,Hong Kong,68 ms,156 kB/s
8.219.209.14,8443,true,SIN,Asia Pacific,Singapore,237 ms,144 kB/s
47.245.126.151,2053,true,SIN,Asia Pacific,Singapore,246 ms,137 kB/s
